,Total Catechins,EGCG,EGC,ECG,EC,C,GCG,GA,Caffeine,TP,TB
Osaka-Fu,8.92,5.73,0.57,1.05,0.19,,1.38,1.23,7.46,0.15,0.37
Aichi-Ken,16.36,13.61,0.72,1.23,0.57,0.02,0.22,0.12,6.99,0.05,0.22
Kyoto Matcha,21.59,16.83,0.9,2.56,0.93,0.03,0.35,0.23,8.08,0.08,0.44
Shizuoka 1,15.89,11.61,0.65,2.5,0.9,0.03,0.21,0.15,7.16,0.05,0.49
Shizuoka 2,21.23,16.75,0.91,2.32,1.01,0.02,0.22,0.12,8.37,0.04,0.35
Kyoto Sencha,21.1,16.19,1.05,2.46,1.19,0.02,0.18,0.19,8.2,0.07,0.34
Kyoto,14.39,10.99,0.7,1.39,0.7,0.02,0.58,0.28,6.94,0.09,0.28
Fukuoka-Ken,17.81,14.22,0.7,1.77,0.87,0.03,0.22,0.18,9.57,0.17,0.3
Tokyo decocted 1,18.13,13.77,1.17,1.84,1.06,0.02,0.26,0.08,6.72,0.06,0.31
Tokyo decocted 2,24.11,18.81,1.19,2.59,1.15,0.02,0.56,0.12,8.62,,0.26
Tokyo decocted 3,19.13,14.88,0.95,2.04,0.92,0.02,0.33,0.1,6.9,,0.26
Tokyo Yn-Loo,18.88,14.69,0.93,1.95,1.05,0.03,0.24,0.12,7.8,0.04,0.28
Tokyo Thu-Ya,13.69,10.5,0.64,1.61,0.76,0.02,0.16,0.12,7.06,0.02,0.29
